FID,LOCATIONID,NUMSPACES,x,y
541,BF27547,0,-122.688385062441,45.5301229087964
542,BF23381,0,-122.661473227158,45.5413564908221
543,BF25091,4,-122.588345458229,45.5486627520576
544,BF29850,0,-122.698467139641,45.529733747983
545,BF23382,2,-122.661461037918,45.5423045543403
546,BF25092,2,-122.587564103595,45.5489651940403
547,BF27549,4,-122.688433738553,45.5315661124549
548,BF29859,0,-122.681049959718,45.5301692208935
549,BF25146,6,-122.648245080052,45.5247819544304
550,BF23384,2,-122.661484105756,45.5444866945881
551,BF29860,0,-122.682687230053,45.5301391158007
552,BF25150,0,-122.645171511375,45.5259337953707
553,BF23385,2,-122.66147073613,45.5451495838639
554,BF29861,0,-122.683693571344,45.5301213626049
555,BF27558,8,-122.688592327133,45.5355479693607
556,BF25153,4,-122.641660411951,45.5272909579199
557,BF23391,2,-122.661467383617,45.5490745133693
558,BF29862,0,-122.684716191005,45.5301008713157
